k,persistence,long_only,vol_weight,slippage,commission,max_dd,lambda_dd,lambda_turn,score_mean,score_std
1.2,8,True,True,0.0001,0.0,0.15,0.7,0.2,-0.025786368916764196,0.0013338724481517627
0.8,5,True,True,0.0002,0.0,0.15,0.7,0.2,-0.02668828255810456,0.00249176266079724
1.0,3,False,True,0.0001,0.0,0.15,0.7,0.2,-0.026954691592402883,0.005004147380881095
1.0,8,False,True,0.0002,0.0,0.15,0.7,0.2,-0.02760765332435674,0.003090156285139155
1.2,5,True,True,0.0001,0.0001,0.1,0.7,0.2,-0.02788222247053326,0.007106395857999506
1.2,5,True,True,0.0002,0.0,0.1,0.7,0.2,-0.02798899297179537,0.003702195873670749
0.8,8,False,True,0.0001,0.0001,0.1,0.7,0.2,-0.028590929934247826,0.006491357337094151
1.0,3,False,True,0.0001,0.0001,0.1,0.7,0.2,-0.02881275920602816,0.008105078669046238
1.2,8,True,True,0.0001,0.0001,0.1,0.7,0.2,-0.028815534001629124,0.005320327119621775
0.8,8,False,True,0.0002,0.0001,0.15,0.7,0.2,-0.02902243847256456,0.004773247783292154
1.0,8,False,True,0.0001,0.0,0.1,0.7,0.2,-0.029589612532174073,0.009792450211073932
1.0,5,False,True,0.0002,0.0001,0.1,0.7,0.2,-0.029595300493238014,0.0030419248277733265
0.8,8,False,True,0.0001,0.0,0.15,0.7,0.2,-0.030909321790164323,0.007021068258387292
0.8,8,True,True,0.0001,0.0,0.15,0.7,0.2,-0.030965486660190562,0.005108266261185107
0.8,3,True,True,0.0002,0.0,0.15,0.7,0.2,-0.03102472708276653,0.004120749006571035
1.0,5,False,True,0.0002,0.0,0.15,0.7,0.2,-0.03111851991721576,0.004705611515045437
1.2,5,False,True,0.0002,0.0,0.1,0.7,0.2,-0.031131137699070888,0.0051889346722168
1.0,8,True,True,0.0001,0.0,0.15,0.7,0.2,-0.031411042118741676,0.004975050671049248
1.2,5,True,True,0.0001,0.0,0.15,0.7,0.2,-0.03143796196237976,0.006272180110562471
0.8,5,True,True,0.0001,0.0,0.1,0.7,0.2,-0.03148020811834917,0.008404862060031191
0.8,5,True,True,0.0002,0.0001,0.15,0.7,0.2,-0.03185388792027898,0.006224680843036254
1.0,8,True,True,0.0001,0.0001,0.15,0.7,0.2,-0.031876394382732605,0.004102156663699765
0.8,8,False,True,0.0002,0.0,0.15,0.7,0.2,-0.03199689681671092,0.007114901807569878
1.2,5,True,True,0.0002,0.0001,0.15,0.7,0.2,-0.03334979128924955,0.006202561094783759
0.8,3,False,True,0.0001,0.0001,0.15,0.7,0.2,-0.033398547228101816,0.007192686756199681
1.2,8,False,True,0.0002,0.0,0.15,0.7,0.2,-0.03347327293372502,0.004329899476970586
0.8,3,True,True,0.0002,0.0001,0.1,0.7,0.2,-0.0335260724293792,0.005406175650496388
1.2,3,False,True,0.0001,0.0,0.15,0.7,0.2,-0.033622130067115646,0.006643852594460128
