number,value,datetime_start,datetime_complete,duration,params_commission,params_long_only,params_max_drawdown,params_persistence,params_scale_mu,params_slippage,params_vol_weight,state
0,-0.03069255233434217,2025-10-15 12:34:41.331726,2025-10-15 12:34:46.946585,0 days 00:00:05.614859,0.00011973169683940733,True,0.07340279606636549,10,1.4363502971184063,0.00023299848545285125,True,COMPLETE
1,-0.24806347702833148,2025-10-15 12:34:46.947181,2025-10-15 12:34:51.301502,0 days 00:00:04.354321,0.00016648852816008436,False,0.08185086660174143,2,2.2701814444901136,0.00029247746304049855,False,COMPLETE
2,-0.05644078726246262,2025-10-15 12:34:51.302004,2025-10-15 12:34:55.731240,0 days 00:00:04.429236,2.7898772130408367e-05,False,0.09382169728028274,4,1.5798625466052894,0.00020296322368059484,True,COMPLETE
3,-0.014862073107806012,2025-10-15 12:34:55.731707,2025-10-15 12:35:00.166283,0 days 00:00:04.434576,0.00012150897038028768,False,0.07557861855309374,7,1.785586096034029,6.161260317999943e-05,True,COMPLETE
4,-0.15434813905770517,2025-10-15 12:35:00.166751,2025-10-15 12:35:04.662357,0 days 00:00:04.495606,8.803049874792026e-05,True,0.06830573522671683,2,1.2615344229334267,0.00022105825662803918,True,COMPLETE
5,-0.05052787525623648,2025-10-15 12:35:04.662825,2025-10-15 12:35:09.209619,0 days 00:00:04.546794,0.00010934205586865593,True,0.07772816832882906,4,2.156305710884955,0.00018001700529445268,True,COMPLETE
6,-0.010081772339506792,2025-10-15 12:35:09.210089,2025-10-15 12:35:14.038760,0 days 00:00:04.828671,3.919657248382904e-05,False,0.056784093336580715,10,1.9947499470277128,7.212312551297988e-05,False,COMPLETE
7,-0.053745529968385594,2025-10-15 12:35:14.039232,2025-10-15 12:35:18.459020,0 days 00:00:04.419788,2.8184844994952532e-05,False,0.17032954711310597,4,1.3918833167339733,0.0001856740207895621,True,COMPLETE
8,-0.02529327728443212,2025-10-15 12:35:18.459495,2025-10-15 12:35:22.942095,0 days 00:00:04.482600,0.00014580143360819748,False,0.16569055200289187,9,0.513805292809006,0.00022671433596190425,False,COMPLETE
9,-0.015756831593339807,2025-10-15 12:35:22.942582,2025-10-15 12:35:27.611012,0 days 00:00:04.668430,6.219646434313244e-05,True,0.09877749830401207,4,2.058245317068895,6.588958757150591e-05,True,COMPLETE
10,-0.008340025795442258,2025-10-15 12:35:27.611468,2025-10-15 12:35:31.973658,0 days 00:00:04.362190,3.5923751229639166e-06,False,0.13484196360221049,8,2.883665350952351,0.00011274405165987297,False,COMPLETE
11,-0.009629105617440526,2025-10-15 12:35:31.974137,2025-10-15 12:35:36.951787,0 days 00:00:04.977650,1.749473393722127e-06,False,0.13377870961689353,8,2.9281614762796306,0.00011117878463994788,False,COMPLETE
12,-0.009048746520643107,2025-10-15 12:35:36.952262,2025-10-15 12:35:41.398010,0 days 00:00:04.445748,8.437242527655274e-07,False,0.1406474039290456,7,2.985006527635177,0.00012478995068640697,False,COMPLETE
13,-0.016023515007361697,2025-10-15 12:35:41.398472,2025-10-15 12:35:45.841961,0 days 00:00:04.443489,2.905477920789085e-06,False,0.12645604113387765,6,2.9969132064448067,0.00013098514444953815,False,COMPLETE
14,-0.019025957859691956,2025-10-15 12:35:45.842419,2025-10-15 12:35:51.203272,0 days 00:00:05.360853,6.496682355595793e-05,False,0.1455043891860335,6,2.6174903084716634,0.00013111303412539297,False,COMPLETE
15,-0.012386121820268664,2025-10-15 12:35:51.203736,2025-10-15 12:35:55.607764,0 days 00:00:04.404028,5.540038499434265e-05,False,0.199402548404182,8,2.541323914646678,0.00010517197605925778,False,COMPLETE
16,-0.019702924213514293,2025-10-15 12:35:55.608249,2025-10-15 12:36:00.004003,0 days 00:00:04.395754,2.6692279333687526e-06,False,0.108193202975104,7,2.632171101235694,0.000155882376728658,False,COMPLETE
17,-0.020354391668780836,2025-10-15 12:36:00.004483,2025-10-15 12:36:05.027398,0 days 00:00:05.022915,0.00019797136060756434,False,0.1532200477156488,8,0.9050161333937248,0.0001021992416697762,False,COMPLETE
18,-0.013499704810905047,2025-10-15 12:36:05.027869,2025-10-15 12:36:09.401146,0 days 00:00:04.373277,8.099047653277645e-05,True,0.11516799221799935,9,2.406686363438057,0.00014820430231923592,False,COMPLETE
19,-0.015516116500846638,2025-10-15 12:36:09.401629,2025-10-15 12:36:13.837930,0 days 00:00:04.436301,2.4849720233194555e-05,False,0.17536348507103644,5,2.761115670131388,9.14367503948887e-05,False,COMPLETE
20,-0.02280430961668227,2025-10-15 12:36:13.838416,2025-10-15 12:36:18.244726,0 days 00:00:04.406310,4.1893801539504874e-05,False,0.1376916453901091,7,2.8201688651413894,0.0002685579447637886,False,COMPLETE
21,-0.009272823569816934,2025-10-15 12:36:18.245197,2025-10-15 12:36:22.689607,0 days 00:00:04.444410,2.175187662510566e-06,False,0.13199032364455665,8,2.9775431473179066,0.00012427213358723115,False,COMPLETE
22,-0.01030984158978043,2025-10-15 12:36:22.690080,2025-10-15 12:36:28.000246,0 days 00:00:05.310166,1.2607748951212756e-05,False,0.11804908036254308,9,2.9864600757650144,0.00013035112222958795,False,COMPLETE
23,-0.012992000594037439,2025-10-15 12:36:28.000709,2025-10-15 12:36:32.530070,0 days 00:00:04.529361,2.4718528080308404e-05,False,0.15365330578159458,7,2.457523349965063,0.00015841989722571067,False,COMPLETE
24,-0.009374947236857951,2025-10-15 12:36:32.530551,2025-10-15 12:36:36.965578,0 days 00:00:04.435027,4.9717354676588356e-05,False,0.12952067298059158,8,2.7484935636482484,8.248033298273418e-05,False,COMPLETE
25,-0.014250125548675384,2025-10-15 12:36:36.966072,2025-10-15 12:36:42.122074,0 days 00:00:05.156002,1.595727648528259e-05,False,0.14344303580326528,6,2.3240335510308143,0.00011986571784787984,False,COMPLETE
26,-0.010432977396163771,2025-10-15 12:36:42.122562,2025-10-15 12:36:46.545117,0 days 00:00:04.422555,7.6678493110906e-05,True,0.16056013746840936,9,2.7951932180201386,0.00014660490775776397,False,COMPLETE
27,-0.021700530179371413,2025-10-15 12:36:46.545588,2025-10-15 12:36:50.967617,0 days 00:00:04.422029,4.398262936035605e-05,False,0.18456183372115217,5,2.620885526721132,9.296949118492036e-05,False,COMPLETE
28,-0.014032800139076975,2025-10-15 12:36:50.968099,2025-10-15 12:36:56.420233,0 days 00:00:05.452134,1.8132848512344448e-05,False,0.10622236479336193,8,1.8741413558429918,0.00016998162439129424,False,COMPLETE
29,-0.0083848106983583,2025-10-15 12:36:56.420717,2025-10-15 12:37:00.902613,0 days 00:00:04.481896,3.071570201495724e-07,True,0.12285076025830201,10,2.99253603666502,0.00012956359453658527,False,COMPLETE
30,-0.020026025874673527,2025-10-15 12:37:00.903093,2025-10-15 12:37:05.345694,0 days 00:00:04.442601,3.7258154997978985e-05,True,0.11971257057078678,10,1.1003574739720454,0.0001977851666901533,False,COMPLETE
31,-0.009115022602593508,2025-10-15 12:37:05.346175,2025-10-15 12:37:10.203452,0 days 00:00:04.857277,3.968884823169821e-07,True,0.1399279003414034,10,2.872457153220883,0.0001186010293597364,False,COMPLETE
32,-0.015082126791540286,2025-10-15 12:37:10.203939,2025-10-15 12:37:14.663689,0 days 00:00:04.459750,1.1828660386970053e-05,True,0.14615679494946718,10,2.8159267576398723,0.00014568200360668302,False,COMPLETE
33,-0.004051062981371028,2025-10-15 12:37:14.664184,2025-10-15 12:37:19.232818,0 days 00:00:04.568634,2.8044761593876993e-07,True,0.09070642196073123,10,2.27910808158832,5.3062600936167054e-05,False,COMPLETE
34,-0.005695512864318752,2025-10-15 12:37:19.233294,2025-10-15 12:37:23.661976,0 days 00:00:04.428682,3.020706027210153e-05,True,0.09058572670589456,9,1.6077573070379998,7.685783407498022e-05,False,COMPLETE
35,-0.005855865974467775,2025-10-15 12:37:23.662458,2025-10-15 12:37:28.318882,0 days 00:00:04.656424,3.2652821097633575e-05,True,0.09264757331716433,9,1.6780370667683635,5.0998744174262396e-05,True,COMPLETE
36,-0.004402999733107893,2025-10-15 12:37:28.319355,2025-10-15 12:37:32.919982,0 days 00:00:04.600627,3.2061485972173246e-05,True,0.08813950048613815,9,1.5918135161713283,5.0944589706669854e-05,True,COMPLETE
37,-0.013349859133259338,2025-10-15 12:37:32.920460,2025-10-15 12:37:37.390440,0 days 00:00:04.469980,9.900933283997498e-05,True,0.0926361188259892,9,1.6512936147683708,5.405206064391212e-05,True,COMPLETE
38,-0.002611181206055336,2025-10-15 12:37:37.390908,2025-10-15 12:37:41.961530,0 days 00:00:04.570622,3.140080308675331e-05,True,0.08554285107654837,9,1.551922892546797,5.177789808630162e-05,True,COMPLETE
39,-0.0209515015786991,2025-10-15 12:37:41.962015,2025-10-15 12:37:48.120270,0 days 00:00:06.158255,0.00012017968473003636,True,0.06779996398939628,10,1.4922698411778847,7.42598129307115e-05,True,COMPLETE
40,-0.013277566836424507,2025-10-15 12:37:48.120753,2025-10-15 12:37:52.815222,0 days 00:00:04.694469,0.00014352565202483688,True,0.08502384460906663,9,1.2928975994886998,6.100573999037007e-05,True,COMPLETE
41,-0.0013917653410278816,2025-10-15 12:37:52.815703,2025-10-15 12:37:57.298056,0 days 00:00:04.482353,2.8762824768584622e-05,True,0.0885502902908213,9,1.7332949143074805,5.413712682047141e-05,True,COMPLETE
42,-0.01379328587736305,2025-10-15 12:37:57.298553,2025-10-15 12:38:02.147340,0 days 00:00:04.848787,5.505844595629236e-05,True,0.0571272339706953,10,1.836199835700209,7.832099248312691e-05,True,COMPLETE
43,-0.009240884522923907,2025-10-15 12:38:02.147820,2025-10-15 12:38:06.802224,0 days 00:00:04.654404,6.86783932948597e-05,True,0.08391238882298144,9,1.5011448070441216,6.199079893795031e-05,True,COMPLETE
44,-0.04036968609803657,2025-10-15 12:38:06.802710,2025-10-15 12:38:11.353160,0 days 00:00:04.550450,2.9191642020838676e-05,True,0.07055816818654292,2,1.9806944222833933,5.019333456536543e-05,True,COMPLETE
45,-0.004146084824110428,2025-10-15 12:38:11.353642,2025-10-15 12:38:16.151593,0 days 00:00:04.797951,1.985697076753501e-05,True,0.10250314976387007,9,2.1854706751881046,8.661034440266954e-05,True,COMPLETE
46,-0.008591438250200017,2025-10-15 12:38:16.152090,2025-10-15 12:38:20.854620,0 days 00:00:04.702530,1.935182732032624e-05,True,0.10313843859385388,10,2.101413184105411,8.773744405155267e-05,True,COMPLETE
